parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,power_density_nW,experiment_time_s
kon_sigma,6,,0.05626647202078617,0.0001533397115921386,1.8483102898138466,0.95,0.31327388130560313,0.010244478903104735,0.08981012365831499,792.0
kon_sigma,7,,0.3136158767363152,0.02280633060992722,1.451805755102991,0.95,0.4802904432965638,0.3978037948610814,0.022175339174892592,910.8
kon_sigma,8,,0.23054713968653584,0.01808703230408591,1.224479293694302,0.95,0.38687045013104204,0.20521582160230536,1.3859586984307867e-05,1105.2
kon_sigma,9,,0.5404592060069537,0.09230341632774837,1.6443725071222852,0.95,0.6754689387906196,0.5156362728196905,1.3859586984307867e-05,1260.0
kon_sigma,10,,0.2209497824866219,0.00761370768248981,0.9888351356800062,0.95,0.33318682502719565,0.06634468945116807,0.030906878975006543,1436.4
kon_sigma,11,,0.21330454031818752,0.0007285169323566503,1.2764502469007486,0.95,0.36139369274482447,0.24292515542091442,0.030906878975006543,1638.0
kon_sigma,12,,0.34854185372294233,0.12060947586394942,0.8824501479487453,0.95,0.4145332499707335,1.232964725192746,0.06682573169467801,1810.8
kon_sigma,13,,0.2254178310808833,0.001328809850263598,0.9840628702828501,0.95,0.3288263256381154,0.3219935329063778,0.06682573169467801,2012.4
kon_sigma,14,,0.5012342718134914,0.001585606271715152,1.7997590105837404,0.95,0.6563360511320585,0.7928601946640484,0.1083782783324549,2203.2
saturation_mu,1,,1259.4109370756742,1238.353510044611,1280.3538353517665,0.95,1259.3958416855999,1251.7038910221324,1.9397606623469608,0.0
saturation_mu,2,,303.55302017954796,283.47878394499344,323.9987655388011,0.95,303.6163721061806,306.6141183594647,1.9397606623469608,198.0
saturation_mu,3,,14.899712839011354,1.7387016863991307,21.931844960739685,0.95,14.555427823360134,14.594433420167201,3.145912743951723,374.4
saturation_mu,4,,85.96567441105336,79.0093187342832,92.79990610937794,0.95,85.98822685824175,85.69679203066615,3.145912743951723,468.0
saturation_mu,5,,215.6068584412376,203.9055289600577,227.60804065088013,0.95,215.909979058839,215.98236122935626,0.08981012365831499,644.4
saturation_mu,6,,297.1474840720223,259.8138489054505,314.85587281903406,0.95,295.25831419929534,299.3625656757046,0.08981012365831499,792.0
saturation_mu,7,,381.7653126880046,360.7882710860048,404.8054699697116,0.95,381.9762707882301,365.09421997704976,0.022175339174892592,910.8
saturation_mu,8,,447.66220201606757,434.7609213232665,461.4322244496217,0.95,447.70119949172323,446.8811433034327,1.3859586984307867e-05,1105.2
saturation_mu,9,,641.3415049240664,623.1312148910131,656.9507323126555,0.95,641.0543391287404,638.4566847948579,1.3859586984307867e-05,1260.0
saturation_mu,10,,511.9300022532027,495.20255557412946,531.9323373267442,0.95,512.499771925703,512.2676222565967,0.030906878975006543,1436.4
saturation_mu,11,,839.383968888274,822.0971227827666,855.1195269660367,0.95,839.1097714620486,829.7070003283867,0.030906878975006543,1638.0
saturation_mu,12,,969.3900219257215,951.5343956597327,982.4520460195769,0.95,968.8875255657422,970.859638741916,0.06682573169467801,1810.8
saturation_mu,13,,339.66386094378925,315.11451263087264,469.0489102458784,0.95,365.8469978028511,459.7077213761694,0.06682573169467801,2012.4
saturation_mu,14,,0.44463183018873786,0.009200614540024491,1.6259665185466268,0.95,0.586504517020365,1.1474573995648796,0.1083782783324549,2203.2
saturation_sigma,1,,19.734286985973974,18.577996222236944,20.85001730560686,0.95,19.739691513980635,19.4529302704626,1.9397606623469608,0.0
saturation_sigma,2,,0.6786273543213637,0.006767755815816323,2.019687826438683,0.95,0.7942599457513242,0.7074494436709537,1.9397606623469608,198.0
saturation_sigma,3,,5.893143156030222,4.714630001520786,7.220030059387831,0.95,5.882151665016022,6.042677752846268,3.145912743951723,374.4
saturation_sigma,4,,0.8440566206280534,0.0029572743316310618,2.5187950191308346,0.95,0.9702625049668604,0.09531387301771314,3.145912743951723,468.0
saturation_sigma,5,,0.7429787227749303,0.009292891428826673,1.9651874502740052,0.95,0.8607050628145666,0.26760398588348044,0.08981012365831499,644.4
saturation_sigma,6,,0.7134280940324613,0.004078553776911016,2.0033628058982464,0.95,0.8435096518589639,0.35268012081187466,0.08981012365831499,792.0
saturation_sigma,7,,0.7042183999987341,0.015566786539221906,2.112708636971919,0.95,0.8510748484350812,2.4179384897557124,0.022175339174892592,910.8
saturation_sigma,8,,0.9479119725397582,0.0024340815917619327,3.110954271573945,0.95,1.150337105343901,0.925800340345015,1.3859586984307867e-05,1105.2
saturation_sigma,9,,0.8802386757230425,0.032012324435679744,2.243805311058861,0.95,0.9891902974520336,0.7066598522610504,1.3859586984307867e-05,1260.0
saturation_sigma,10,,0.8187245448546989,0.007511311814002988,2.07792260268609,0.95,0.9235773624641057,0.883772657493377,0.030906878975006543,1436.4
saturation_sigma,11,,0.5807222394449734,0.007109480208162952,1.8968018669293512,0.95,0.7292517711994589,0.16834955533870938,0.030906878975006543,1638.0
saturation_sigma,12,,7.407730661241107,4.8211387755417965,9.901358004618997,0.95,7.2905468131783335,6.0798337812081025,0.06682573169467801,1810.8
saturation_sigma,13,,20.77251177377987,13.58196869042279,21.963559078726554,0.95,19.310220136336678,14.762556224328506,0.06682573169467801,2012.4
saturation_sigma,14,,0.3935483018377246,0.001954593318616887,1.5353885053719498,0.95,0.5352487238816216,1.2254002817434904,0.1083782783324549,2203.2
kon,1,,0.6116723165922988,0.5774359099217272,0.6481295552463193,0.95,0.6117558698695197,0.6209888687856444,1.9397606623469608,0.0
kon,2,,0.6479239361642751,0.604890383751872,0.6948691645597211,0.95,0.6485369892164925,0.6621785154055495,1.9397606623469608,198.0
kon,3,,0.6294454131389504,0.567604574651122,0.6912659357534326,0.95,0.631066491600141,0.587272943189945,3.145912743951723,374.4
kon,4,,0.6348129135192804,0.5794731815112529,0.6970893274746136,0.95,0.6359869607345678,0.6332412669001728,3.145912743951723,468.0
kon,5,,0.016455786036548112,0.015555555581836739,0.01748919477688918,0.95,0.016458560922827967,0.01586219203297211,0.08981012365831499,644.4
kon,6,,0.24074981848012597,0.1850972405637259,0.30854115552646005,0.95,0.24246490721808167,0.21120723048016007,0.08981012365831499,792.0
kon,7,,5.7546028591430165,0.6730088089107609,19.58783330847896,0.95,7.753237849351205,4.40831537535202,0.022175339174892592,910.8
kon,8,,6.052560483986266,0.39063151290062753,19.52030640696247,0.95,7.942286089040719,4.743402569608165,1.3859586984307867e-05,1105.2
kon,9,,6.049737273465262,0.48103736391059093,19.569151449256697,0.95,7.915576346150682,4.496810830383841,1.3859586984307867e-05,1260.0
